Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,4358982388.973967,0.0,,,Historical calendar year
2022,8285795104.391648,0.9008553751789736,,,Historical calendar year
2023,3942795281.177932,-0.5241500385294144,,,Historical calendar year
2024,9755225665.64819,1.4741902558871285,,,Historical calendar year
2025,9777076318.37537,0.0022398920820585477,,,Historical ttm
2025,11243637766.131674,0.15,10038962291.188993,0.8928571428571428,Projected calendar year
2026,12930183431.051424,0.15,10307863066.84584,0.7971938775510203,Projected calendar year
2027,14869710945.709137,0.15,10583966541.850637,0.7117802478134109,Projected calendar year
2028,17100167587.565506,0.15,10867465645.650208,0.6355180784048311,Projected calendar year
2029,19665192725.70033,0.15,11158558475.444407,0.5674268557185992,Projected calendar year
2030,22614971634.555378,0.15,11457448434.608093,0.5066311211773206,Projected calendar year
2031,26007217379.73868,0.15,11764344374.820808,0.4523492153368934,Projected calendar year
2032,29908299986.699482,0.15,12079460742.003508,0.40388322797936904,Projected calendar year
2033,34394544984.7044,0.15,12403017726.164312,0.36061002498157946,Projected calendar year
2034,39553726732.41006,0.15,12735241415.257998,0.32197323659069593,Projected calendar year
,403448012670.58264,0.02,129899462435.63159,0.32197323659069593,Terminal value
