Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,71363,0.0,0.02,1430,0.4871,733,3.3436,,21343,0.0344,,,,Historical calendar year
2022,73838,0.0347,0.0398,2936,0.1607,2464,3.2962,751,22401,0.11,1851,,,Historical calendar year
2023,78681,0.0656,0.0394,3103,0.2189,2424,3.7205,1302,21148,0.1146,4857,,,Historical calendar year
2024,83761,0.0646,0.0485,4063,0.1995,3253,3.5757,1421,23425,0.1389,4254,,,Historical calendar year
2025,81026,-0.0327,0.0425,3445,0.2303,2652,3.459,-791,23425,0.1132,3647,,,Historical ttm
2025,87420,0.0789,0.05,4371,0.22,3409,3.5,614,24039,0.1418,2795,0.9434,2637,Projected calendar year
2026,91624,0.0481,0.05,4581,0.22,3573,3.5,644,24684,0.1448,2929,0.89,2607,Projected calendar year
2027,95827,0.0459,0.05,4791,0.22,3737,3.5,674,25357,0.1474,3064,0.8396,2572,Projected calendar year
2028,100031,0.0439,0.05,5002,0.22,3901,3.5,703,26060,0.1497,3198,0.7921,2533,Projected calendar year
2029,104235,0.042,0.05,5212,0.22,4065,3.5,733,26793,0.1517,3332,0.7473,2490,Projected calendar year
2030,108438,0.0403,0.05,5422,0.22,4229,3.5,762,27555,0.1535,3467,0.705,2444,Projected calendar year
2031,112642,0.0388,0.05,5632,0.22,4393,3.5,792,28347,0.155,3601,0.6651,2395,Projected calendar year
2032,116846,0.0373,0.05,5842,0.22,4557,3.5,821,29168,0.1562,3736,0.6274,2344,Projected calendar year
2033,121050,0.036,0.05,6052,0.22,4721,3.5,851,30019,0.1573,3870,0.5919,2291,Projected calendar year
2034,125253,0.0347,0.05,6263,0.22,4885,3.5,880,30900,0.1581,4004,0.5584,2236,Projected calendar year
,,0.025,,,,,,,,,117273,0.5584,65485,Terminal value
