Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,61787,0.0,0.3162,19538,0.0372,18811,1.2586,,49091,0.398,,,,Historical calendar year
2022,81529,0.3195,0.3802,30997,0.0301,30064,1.1545,17100,70618,0.4389,18828,,,Historical calendar year
2023,51065,-0.3737,0.1005,5133,0.1041,4599,0.808,-37705,63203,0.0812,15302,,,Historical calendar year
2024,55482,0.0865,0.139,7713,0.0857,7052,0.8177,5402,67849,0.1137,7511,,,Historical calendar year
2025,56448,0.0174,,,0.0868,,0.8506,1136,66366,,,,,Historical ttm
2025,54799,-0.0292,0.139,7618,0.0868,6957,1.1655,0,66366,0.1148,6957,0.9227,6419,Projected calendar year
2026,53528,-0.0232,0.139,7441,0.0868,6796,1.4804,0,66366,0.1121,6796,0.8513,5785,Projected calendar year
2027,52609,-0.0172,0.139,7314,0.0868,6679,1.7954,0,66366,0.1102,6679,0.7855,5246,Projected calendar year
2028,52022,-0.0111,0.139,7232,0.0868,6605,2.1103,0,66366,0.109,6605,0.7248,4787,Projected calendar year
2029,51756,-0.0051,0.139,7195,0.0868,6571,2.4253,0,66366,0.1084,6571,0.6687,4394,Projected calendar year
2030,51803,0.0009,0.139,7202,0.0868,6577,2.7402,17,66383,0.1085,6560,0.617,4047,Projected calendar year
2031,52162,0.0069,0.139,7251,0.0868,6622,3.0552,117,66501,0.109,6505,0.5693,3703,Projected calendar year
2032,52837,0.013,0.139,7345,0.0868,6708,3.3701,200,66701,0.1101,6508,0.5253,3418,Projected calendar year
2033,53840,0.019,0.139,7485,0.0868,6835,3.6851,272,66973,0.1118,6563,0.4847,3181,Projected calendar year
2034,55186,0.025,0.139,7672,0.0868,7006,4.0,336,67310,0.114,6670,0.4472,2983,Projected calendar year
,,0.025,,,,,,,,,116268,0.4472,51996,Terminal value
