Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,61787,0.0,0.3162,19538,0.0372,18811,1.0267,,60178,0.3247,,,,Historical calendar year
2022,81529,0.3195,0.3802,30997,0.0301,30064,1.0146,19459,80359,0.3857,18828,,,Historical calendar year
2023,51065,-0.3737,0.1005,5133,0.1041,4599,0.7325,-41587,69709,0.0736,15302,,,Historical calendar year
2024,55482,0.0865,0.139,7713,0.0857,7052,0.7521,5873,73774,0.1045,7511,,,Historical calendar year
2025,56448,0.0174,,,0.0868,,0.7862,1229,71799,,,,,Historical ttm
2025,54459,-0.0352,0.139,7571,0.0868,6914,1.1076,0,71799,0.1054,6914,0.9227,6379,Projected calendar year
2026,52539,-0.0352,0.139,7304,0.0868,6670,1.429,0,71799,0.1017,6670,0.8513,5679,Projected calendar year
2027,50688,-0.0352,0.139,7047,0.0868,6435,1.7503,0,71799,0.0981,6435,0.7855,5055,Projected calendar year
2028,48901,-0.0352,0.139,6798,0.0868,6208,2.0717,0,71799,0.0947,6208,0.7248,4500,Projected calendar year
2029,47178,-0.0352,0.139,6559,0.0868,5990,2.3931,0,71799,0.0913,5990,0.6688,4006,Projected calendar year
2030,45515,-0.0352,0.139,6327,0.0868,5778,2.7145,0,71799,0.0881,5778,0.6171,3566,Projected calendar year
2031,43911,-0.0352,0.139,6104,0.0868,5575,3.0359,0,71799,0.085,5575,0.5693,3174,Projected calendar year
2032,42364,-0.0352,0.139,5889,0.0868,5378,3.3572,0,71799,0.082,5378,0.5253,2825,Projected calendar year
2033,40871,-0.0352,0.139,5682,0.0868,5189,3.6786,0,71799,0.0791,5189,0.4847,2515,Projected calendar year
2034,39430,-0.0352,0.139,5482,0.0868,5006,4.0,0,71799,0.0763,5006,0.4472,2239,Projected calendar year
,,0.025,,,,,,,,,87274,0.4472,39032,Terminal value
